Time,PM2_5,CO,PM10,SO2,O3,NO2
2023-01-01 00:00:00,62,0.6,64,2,10,49
2023-01-01 01:00:00,57,0.7,66,2,14,42
2023-01-01 02:00:00,62,0.6,63,2,20,38
2023-01-01 03:00:00,63,0.6,,3,18,38
2023-01-01 04:00:00,66,0.6,,5,18,37
2023-01-01 05:00:00,57,0.6,59,9,29,30
2023-01-01 06:00:00,64,0.6,,9,24,35
2023-01-01 07:00:00,45,0.6,54,8,29,33
2023-01-01 08:00:00,52,0.6,54,8,24,38
2023-01-01 09:00:00,58,0.7,65,11,19,43
2023-01-01 10:00:00,54,0.7,56,15,16,52
2023-01-01 11:00:00,45,0.7,50,14,16,51
2023-01-01 12:00:00,60,0.8,75,8,12,51
2023-01-01 13:00:00,57,0.8,63,3,9,49
2023-01-01 14:00:00,57,0.8,65,2,15,48
2023-01-01 15:00:00,52,0.7,69,2,24,42
2023-01-01 16:00:00,54,0.6,68,2,32,37
2023-01-01 17:00:00,58,0.6,69,2,29,40
2023-01-01 18:00:00,55,0.6,107,2,39,30
2023-01-01 19:00:00,42,0.6,52,2,41,29
2023-01-01 20:00:00,32,0.6,54,1,47,25
2023-01-01 21:00:00,42,0.6,51,2,50,21
2023-01-01 22:00:00,50,0.5,,2,49,21
2023-01-01 23:00:00,39,0.6,64,1,31,35
2023-01-02 00:00:00,50,0.7,58,2,6,54
2023-01-02 01:00:00,71,0.8,81,2,2,54
2023-01-02 02:00:00,84,0.8,92,2,2,50
2023-01-02 03:00:00,85,0.7,93,3,8,43
2023-01-02 04:00:00,75,0.8,88,2,8,41
2023-01-02 05:00:00,71,0.7,88,2,8,40
2023-01-02 06:00:00,77,0.8,83,2,5,41
2023-01-02 07:00:00,74,0.8,74,2,3,44
2023-01-02 08:00:00,74,0.7,80,2,2,50
2023-01-02 09:00:00,65,0.8,80,2,3,45
2023-01-02 10:00:00,72,0.8,76,3,9,43
2023-01-02 11:00:00,56,0.8,80,3,14,39
2023-01-02 12:00:00,54,0.9,63,4,21,42
2023-01-02 13:00:00,58,0.7,,3,35,38
2023-01-02 14:00:00,41,0.6,54,3,55,31
2023-01-02 15:00:00,36,0.6,44,2,65,28
2023-01-02 16:00:00,39,0.5,40,2,70,27
2023-01-02 17:00:00,39,0.6,56,2,70,31
2023-01-02 18:00:00,52,0.6,75,2,64,36
2023-01-02 19:00:00,66,0.7,91,2,42,53
2023-01-02 20:00:00,76,0.9,81,2,7,83
2023-01-02 21:00:00,72,0.9,94,2,6,82
2023-01-02 22:00:00,64,0.9,79,2,7,78
2023-01-02 23:00:00,72,0.8,76,4,5,76
2023-01-03 00:00:00,79,0.9,89,4,2,74
2023-01-03 01:00:00,89,0.8,,12,3,69
2023-01-03 02:00:00,86,0.8,98,7,3,64
2023-01-03 03:00:00,78,0.8,91,6,2,61
2023-01-03 04:00:00,81,0.8,90,8,2,57
2023-01-03 05:00:00,77,0.9,83,5,2,55
2023-01-03 06:00:00,78,0.9,91,7,2,54
2023-01-03 07:00:00,82,0.9,85,5,2,52
2023-01-03 08:00:00,83,0.9,96,6,3,50
2023-01-03 09:00:00,71,1.2,100,7,3,52
2023-01-03 10:00:00,90,1.1,93,6,3,54
2023-01-03 11:00:00,89,1.5,123,6,4,56
2023-01-03 12:00:00,104,1.6,143,6,5,67
2023-01-03 13:00:00,110,1.4,141,5,8,74
2023-01-03 14:00:00,105,1.3,138,5,10,78
2023-01-03 15:00:00,116,1.3,137,4,10,82
2023-01-03 16:00:00,117,1.1,143,4,10,77
2023-01-03 17:00:00,,,,4,9,73
2023-01-03 18:00:00,113,0.9,136,4,6,71
2023-01-03 19:00:00,130,1,137,4,3,70
2023-01-03 20:00:00,120,0.9,131,4,15,56
2023-01-03 21:00:00,122,0.9,,4,10,56
2023-01-03 22:00:00,120,0.9,129,4,3,60
2023-01-03 23:00:00,127,1,132,4,2,60
2023-01-04 00:00:00,113,1,130,4,2,57
2023-01-04 01:00:00,114,1,137,4,2,55
2023-01-04 02:00:00,119,1,141,4,2,54
2023-01-04 03:00:00,126,1,138,4,2,53
2023-01-04 04:00:00,125,1,132,4,2,50
2023-01-04 05:00:00,113,0.8,117,3,9,42
2023-01-04 06:00:00,92,0.7,108,2,24,28
2023-01-04 07:00:00,92,0.7,,2,35,23
2023-01-04 08:00:00,58,0.7,71,2,41,25
2023-01-04 09:00:00,58,0.7,62,2,38,31
2023-01-04 10:00:00,61,0.7,,2,37,34
2023-01-04 11:00:00,52,0.8,80,2,39,34
2023-01-04 12:00:00,55,0.8,82,3,38,38
2023-01-04 13:00:00,58,0.8,77,4,38,42
2023-01-04 14:00:00,65,0.7,82,3,42,42
2023-01-04 15:00:00,71,0.7,83,3,50,37
2023-01-04 16:00:00,74,0.7,,3,47,40
2023-01-04 17:00:00,65,0.7,88,3,45,42
2023-01-04 18:00:00,87,0.7,100,3,37,48
2023-01-04 19:00:00,86,0.7,88,3,36,49
2023-01-04 20:00:00,79,0.7,104,3,27,56
2023-01-04 21:00:00,79,0.8,96,2,19,60
2023-01-04 22:00:00,87,0.8,106,2,18,59
2023-01-04 23:00:00,87,0.9,108,2,7,68
2023-01-05 00:00:00,87,0.9,104,2,3,72
2023-01-05 01:00:00,76,0.9,93,2,5,67
2023-01-05 02:00:00,87,0.8,110,2,4,64
2023-01-05 03:00:00,86,0.9,104,2,2,63
2023-01-05 04:00:00,89,1,99,2,2,61
2023-01-05 05:00:00,103,1,113,2,2,56
2023-01-05 06:00:00,106,1,114,2,2,50
2023-01-05 07:00:00,103,1.1,129,2,2,48
2023-01-05 08:00:00,107,1.3,116,2,2,44
2023-01-05 09:00:00,103,2,124,2,3,46
2023-01-05 10:00:00,102,1.8,141,2,4,53
2023-01-05 11:00:00,106,1.4,112,3,14,61
2023-01-05 12:00:00,78,1.1,103,3,33,56
2023-01-05 13:00:00,79,0.9,86,3,47,52
2023-01-05 14:00:00,66,0.9,84,3,55,50
2023-01-05 15:00:00,79,0.8,,3,73,38
2023-01-05 16:00:00,64,0.7,65,3,89,28
2023-01-05 17:00:00,62,0.7,71,2,88,30
2023-01-05 18:00:00,72,0.7,81,2,83,36
2023-01-05 19:00:00,77,1.1,98,2,38,73
2023-01-05 20:00:00,77,1,96,2,38,72
2023-01-05 21:00:00,77,1,98,2,33,71
2023-01-05 22:00:00,84,0.9,91,2,30,65
2023-01-05 23:00:00,75,0.9,81,2,18,68
2023-01-06 00:00:00,66,1,74,2,11,66
2023-01-06 01:00:00,81,1.1,,2,11,61
2023-01-06 02:00:00,74,1.1,83,2,4,68
2023-01-06 03:00:00,77,1.2,94,2,2,72
2023-01-06 04:00:00,79,1.1,97,2,2,74
2023-01-06 05:00:00,86,1,101,3,2,72
2023-01-06 06:00:00,109,1,116,4,2,70
2023-01-06 07:00:00,93,0.9,110,8,6,66
2023-01-06 08:00:00,106,0.9,123,25,6,61
2023-01-06 09:00:00,100,1.2,125,15,4,62
2023-01-06 10:00:00,88,1.3,101,12,8,60
2023-01-06 11:00:00,117,1.3,124,11,15,65
2023-01-06 12:00:00,91,1.3,107,8,33,60
2023-01-06 13:00:00,99,1.1,113,6,50,54
2023-01-06 14:00:00,59,0.9,76,4,76,38
2023-01-06 15:00:00,56,0.8,66,4,99,21
2023-01-06 16:00:00,56,0.8,75,3,106,21
2023-01-06 17:00:00,70,0.8,76,3,111,25
2023-01-06 18:00:00,79,0.9,100,3,103,36
2023-01-06 19:00:00,96,0.9,110,3,80,47
2023-01-06 20:00:00,84,1,116,4,62,57
2023-01-06 21:00:00,104,1,,4,66,53
2023-01-06 22:00:00,81,1,100,3,61,54
2023-01-06 23:00:00,85,0.9,88,3,58,52
2023-01-07 00:00:00,91,0.9,91,2,42,62
2023-01-07 01:00:00,78,0.9,97,2,55,47
2023-01-07 02:00:00,79,0.9,84,2,37,55
2023-01-07 03:00:00,96,1.5,115,3,4,83
2023-01-07 04:00:00,106,1.5,119,3,2,78
2023-01-07 05:00:00,96,1.4,117,3,2,74
2023-01-07 06:00:00,115,1.3,117,3,2,70
2023-01-07 07:00:00,97,1.4,115,3,2,66
2023-01-07 08:00:00,101,1.4,109,3,2,66
2023-01-07 09:00:00,104,1.5,126,3,3,68
2023-01-07 10:00:00,114,1.7,115,4,3,70
2023-01-07 11:00:00,102,1.6,117,4,6,77
2023-01-07 12:00:00,94,1.4,119,4,12,81
2023-01-07 13:00:00,93,1.2,116,4,23,76
2023-01-07 14:00:00,107,1.2,115,4,26,80
2023-01-07 15:00:00,116,1.4,142,3,23,88
2023-01-07 16:00:00,105,1.2,122,3,43,72
2023-01-07 17:00:00,106,1.2,129,3,44,71
2023-01-07 18:00:00,100,0.9,101,3,68,45
2023-01-07 19:00:00,104,1,129,3,46,60
2023-01-07 20:00:00,98,0.9,114,4,50,50
2023-01-07 21:00:00,100,1.1,120,3,31,65
2023-01-07 22:00:00,110,1,125,3,18,72
2023-01-07 23:00:00,107,1.1,126,4,3,86
2023-01-08 00:00:00,117,1.1,126,6,5,80
2023-01-08 01:00:00,103,1,124,6,3,78
2023-01-08 02:00:00,103,1,111,8,10,72
2023-01-08 03:00:00,97,1,110,7,12,67
2023-01-08 04:00:00,111,1,114,5,7,70
2023-01-08 05:00:00,102,1,118,5,8,69
2023-01-08 06:00:00,102,1.1,110,2,3,71
2023-01-08 07:00:00,114,1.2,115,3,2,73
2023-01-08 08:00:00,120,1.1,125,3,2,69
2023-01-08 09:00:00,138,1,141,4,8,59
2023-01-08 10:00:00,124,1.2,136,5,9,61
2023-01-08 11:00:00,131,1.1,139,6,20,58
2023-01-08 12:00:00,115,1,125,6,35,48
2023-01-08 13:00:00,116,1,136,6,42,48
2023-01-08 14:00:00,96,0.9,114,7,62,33
2023-01-08 15:00:00,108,0.9,119,9,67,32
2023-01-08 16:00:00,95,0.9,118,8,74,29
2023-01-08 17:00:00,103,0.9,118,6,69,34
2023-01-08 18:00:00,109,0.9,119,6,62,38
2023-01-08 19:00:00,119,1,141,5,42,50
2023-01-08 20:00:00,121,1.1,138,6,26,62
2023-01-08 21:00:00,119,1.1,143,6,21,64
2023-01-08 22:00:00,131,1.2,143,6,12,71
2023-01-08 23:00:00,119,1.3,131,6,3,80
2023-01-09 00:00:00,123,1.3,130,6,2,81
2023-01-09 01:00:00,115,1.3,128,6,2,82
2023-01-09 02:00:00,116,1.1,118,5,5,74
2023-01-09 03:00:00,113,1.2,129,4,2,68
2023-01-09 04:00:00,121,1.2,129,5,2,67
2023-01-09 05:00:00,127,1.2,,6,2,65
